x,y_fd,y_exata,erro_abs,erro_rel
0.0,0.0,0.0,0.0,
0.039269908169872414,0.039262337748413534,0.03925981575906861,2.521989344923814e-06,6.423844065904107e-05
0.07853981633974483,0.07846412803722726,0.07845909572784494,5.032309382313471e-06,6.413927328157463e-05
0.11780972450961724,0.11754491677863413,0.11753739745783764,7.519320796484097e-06,6.397385818570115e-05
0.15707963267948966,0.1564444364844216,0.15643446504023087,9.971444190737255e-06,6.374199054008245e-05
0.19634954084936207,0.19510269920601336,0.19509032201612825,1.2377189885115492e-05,6.344338231238483e-05
0.23561944901923448,0.23346008904342574,0.2334453638559054,1.4725187520353566e-05,6.307766098727374e-05
0.2748893571891069,0.2714574540804785,0.27144044986507426,1.7004215404237133e-05,6.264436789980812e-05
0.3141592653589793,0.30903619760448414,0.3090169943749474,1.9203229536746136e-05,6.214295616844229e-05
0.3534291735288517,0.346138368469744,0.34611705707749296,2.131139225103329e-05,6.157278820922666e-05
0.39269908169872414,0.38270675046549835,0.3826834323650898,2.3318100408564746e-05,6.09331328101988e-05
0.43196898986859655,0.41868495055051513,0.4186597375374281,2.521301308705537e-05,6.0223161738358786e-05
0.47123889803846897,0.45401748581824697,0.45399049973954675,2.698607870021963e-05,5.9441945846226905e-05
0.5105088062083414,0.4886498690584471,0.4886212414969549,2.862756149218937e-05,5.8588450646322907e-05
0.5497787143782138,0.5225286927832955,0.5224985647159488,3.0128067346701926e-05,5.766153130598694e-05
0.5890486225480862,0.555601711588458,0.5555702330196022,3.1478568855769495e-05,5.665992701711007e-05
0.6283185307179586,0.5878179227220662,0.5877852522924731,3.267042959309574e-05,5.55822546851506e-05
0.667588438887831,0.6191276447373718,0.619093949309834,3.369542753783872e-05,5.4427001871690695e-05
0.7068583470577035,0.6494825941077812,0.6494480483301837,3.454577759753885e-05,5.319251891873505e-05
0.7461282552275759,0.6788359596861222,0.6788007455329417,3.521415318052945e-05,5.187701017164032e-05
0.7853981633974483,0.707142474893317,0.7071067811865475,3.5693706769590605e-05,5.047852420492339e-05
0.8246680715673207,0.7343584875251361,0.7343225094356856,3.5978089450550144e-05,4.899494294162207e-05
0.8639379797371931,0.760442027069384,0.7604059656000309,3.606146935308807e-05,4.742396954320607e-05
0.9032078879070655,0.7853528694297042,0.785316930880745,3.593854895922455e-05,4.576311492344742e-05
0.9424777960769379,0.8090525989561913,0.8090169943749475,3.560458124385324e-05,4.400968272781662e-05
0.9817477042468103,0.8315046676871517,0.8314696123025452,3.5055384606463846e-05,4.216075258527706e-05
1.0210176124166828,0.852674451710654,0.8526401643540922,3.428735656185733e-05,4.021316141942636e-05
1.0602875205865552,0.8725293045589532,0.8724960070727971,3.329748615610306e-05,3.8163482567462193e-05
1.0995574287564276,0.891038607553447,0.8910065241883678,3.208336507920517e-05,3.600800241999398e-05
1.1388273369263,0.9081738170225266,0.9081431738250813,3.0643197445390236e-05,3.374269424535967e-05
1.1780972450961724,0.9239085083195064,0.9238795325112867,2.8975808219700028e-05,3.136318881417155e-05
1.2173671532660448,0.9382184165727496,0.9381913359224842,2.7080650265465245e-05,2.8864741368388334e-05
1.2566370614359172,0.9510814741051508,0.9510565162951535,2.4957809997228075e-05,2.6242194411801494e-05
1.2959069696057897,0.9624778444652671,0.9624552364536473,2.2608011619795754e-05,2.3489935701424774e-05
1.335176877775662,0.9723899530176201,0.9723699203976766,2.0032619943544105e-05,2.0601850718861433e-05
1.3744467859455345,0.9808025140449923,0.9807852804032304,1.7233641761871255e-05,1.7571268764133556e-05
1.413716694115407,0.9877025543209242,0.9876883405951378,1.421372578647162e-05,1.439090166631617e-05
1.4529866022852793,0.9930794331160605,0.9930684569549263,1.0976161134212958e-05,1.1052773912353907e-05
1.4922565104551517,0.9969248586074915,0.996917333733128,7.524874363507017e-06,7.548142768597306e-06
1.5315264186250241,0.9992329006657867,0.9992290362407229,3.864425063837551e-06,3.867406694241196e-06
1.5707963267948966,1.0,1.0,0.0,0.0
